3196	Desde las cooperativas comentaron a punto biz que la novedad es que ahora está en estudio un borrador de un convenio de colaboración con la Bolsa para ver si finalmente surge un proyecto de mercado físico a concretar.	Ambas o ninguna (both or none)
4955	"Asimismo, el Consistorio ha contratado la adecuación del edificio Mercovélez para recinto de usos múltiples (135.109,75 euros), que deberán estar concluidas en cuatro meses."	España (es-ES)
71	"Marcos Antonio Córdoba, el maquinista del ferrocarril que protagonizó la semana pasada la tragedia en la que murieron 51 personas, no usó el teléfono para llamados o mensajes de texto durante la media hora previa al choque del tren en la estación Once."	Ambas o ninguna (both or none)
4677	"En los últimos días, se supo que quien fuera Maxwell Smart en la película del Superagente 86 rechazó la propuesta de formar parte de las voces del filme de los Muppets por una cuestión de agenda."	Argentina (es-AR)
1235	"El pasado 4 de febrero fueron detenidos el portavoz de Batasuna Pernando Barrena, y el miembro de la Mesa Nacional Patxi Urrutia, en relación con las diligencias abiertas por el juez Baltasar Garzón sobre la nueva dirección de la formación ilegalizada. Con esas dos detenciones y posterior envío a prisión, un total de 19 de los 38 miembros de la Mesa Nacional de Batasuna se encuentran en la cárcel por integraciòn en organización terrorista, la misma suerte que podrían correr los detenidos hoy."	España (es-ES)
1674	"La obra consiste en la construcción de una alcantarilla de cruce bajo la Avenida Circunvalación Oeste de la ciudad de Santa Fe, lindante al terraplén de defensa del río Salado, a la altura de la Estación de Bombeo Nº 1."	Argentina (es-AR)
4160	La segunda medida sería poner el dinero del segundo plan de rescate en una cuenta bancaria que Atenas no podría controlar y que se utilizaría únicamente para pagar vencimientos de deuda helena. Si la Eurozona considera que Grecia ha hecho todo lo exigido ? y a ningún ministro europeo se le ocurre sugerir nuevos ajustes o nuevos controles sobre las cuentas públicas griegas ? la UE daría el visto bueno a los acuerdos y desbloquearía el segundo rescate.	Ambas o ninguna (both or none)
1697	"Si la playa y el paseo que haya elegido le dejan hueco para almorzar con calma, puede acercarse a El Aljibe, en Miramar. El pollo asado es la especialidad de la casa. Incluye arroz, frijoles, patatas fritas y ensalada, y un plato basta para dos personas. La cuenta rondará los 15 CUC siempre que no pida vino, lo cual nunca debe hacerse en Cuba sin consultar antes los precios."	España (es-ES)
810	"De cara al futuro, el 43% de los encuestados cree que la situación económica se mantendrá igual en los próximos doce meses en el País Vasco, un 34% que mejorará y un 17% que empeorará."	España (es-ES)
561	"El portavoz de la CEDEAO, Sunny Ugoh, dijo en Lagos que la delegación, que viajará el próximo martes a Abiyán, la compondrán los presidentes de Benin, Cabo Verde y Sierra Leona, quienes tienen previsto reunirse con Gbagbo, posiblemente acompañados por el presidente de la Comisión de la organización, James Victor Gbeho."	Ambas o ninguna (both or none)
165	"La edil de Servicios Operativos Ana Román destacó que el trabajo se realiza en función de la urgencia de la avería y que «funciona gracias al interés de los vecinos en mejorar y embellecer el municipio». Para contactar con el servicio hay que llamar a los Servicios Operativos (952 494 441), a cualquier dependencia municipal de 8 a 15 horas o a la Policía."	España (es-ES)
1557	"Cerrará esta primera jornada Maílla presentando su primer trabajo discográfico como trío. El grupo Maílla (nombre que se le da en Cantabria a cierto tipo de manzanas silvestres) nace en 2007 de la mano de Marcos Bárcena, Maribel Fernández Garrido y Chema Murillo, tres músicos provenientes de agrupaciones históricas como Luétiga, Atlántica y El Hombre Pez. El sonido del grupo se basa en la conjugación del violín y el acordeón acompañados por el soporte rítmico y armónico de la guitarra acústica, unido a las voces masculina y femenina en los temas cantados."	España (es-ES)
1003	"No voy a responder a esa pregunta. De este país ni de fuera. De fuera no me llamó nadie, salvo para anunciarme lo que iba a pasar."	España (es-ES)
1483	"Ese nuevo mapa político ha quedado mayoritariamente pintado del rojo del oficialista Partido de los Trabajadores (PT) y de sus aliados, aunque con algunas pero importantes manchas azules del opositor Partido de la Social Democracia Brasileña (PSDB) y de las otras fuerzas que apoyaron al candidato derrotado a la Presidencia, José Serra, quien ha obtenido el 43,99% de los votos. Pese al apoyo mayoritario que tendrá Rousseff entre los gobiernos regionales, el PSDB de Serra será individualmente el partido con mayor número de gobernadores, con ocho, incluidos los de São Paulo y Minas Gerais, los dos mayores colegios electorales de Brasil."	España (es-ES)
3924	"«La verdad es que la diferencia se nota muchísimo. Ahora nos damos cuenta de lo sucia que estaba, pero tendremos que acostumbrarnos al cambio. Como las pinturas del ábside al final no se han limpiado, da la sensación de que la restauración se ha quedado a medio»."	España (es-ES)
4060	El precio de las entradas oscila entre 18 y 20 euros y se pueden adquirir en El Corte Inglés y en las propias taquillas del teatro de Marbella.	España (es-ES)
3617	"Hace 15 años los habitantes de Pilar (ubicada a 54 kilómetros al norte de Capital Federal) iban con sus hijos a tomar helado a la esquina de la plaza principal. Hoy, muchos de ellos ya no lo hacen, atraídos por los enormes centros comerciales construidos por inversores privados."	España (es-ES)
4729	"De acuerdo al informe, el estar rodeado de un clima de felicidad y mantener relaciones afectivos estables colabora en reducir los riesgos de desarrollar enfermedades cardiacas y contribuye a alargar la vida."	Argentina (es-AR)
1061	"En su última sesión de 2010 el pleno de Burlada desbloqueó la redacción del plan municipal encargado hace más de cuatro años. En concreto, todos los grupos dieron el visto bueno a la aprobación inicial de la conocida como EMOT (Estrategia de ocupación del territorio), que fija las zonas urbanizables y el resto de usos del suelo sin desarrollar. El documento vincula el desarrollo del entorno del casco Viejo y terreno de Pabollet a un plan de inundabilidad que redacta la CHE. Además, deja La Morea como reserva a futuro y fija como urbanizable en entorno de la antigua Embutidos Ciganda."	España (es-ES)
3782	"Los activistas presentaron al funcionario un petitorio en el que expresaron sus ""dudas"" respecto del impacto de la actividad en las comunidades de Belén, Andalgalá y Tinogasta."	Argentina (es-AR)
2934	"Para controlar el gasto lo mejor es «pagar en efectivo y preguntarnos sobre la necesidad o no de ciertos gastos, más o menos superfluos. Evitar estas compras innecesarias puede implicar un ahorro»."	España (es-ES)
584	"En una ciudad que es ya un referente turístico a nivel nacional y que cada fin de semana acoge a cientos de familias de distintas comunidades autónomas, esta deficiencia en el servicio telefónico es una dificultad insalvable en algunos casos ya que los clientes no son habituales."	Ambas o ninguna (both or none)
2371	"Parece que todo gira en torno a un juego de palabras sobre la noción de pajarito. El apellido de Larry Bird significa pájaro en inglés, Twitter se puede traducir como “parloteo” y también como “pío”. Y en un cierto sentido Larry Bird volaba cuando hacía volcadas."	Argentina (es-AR)
2147	Desde 2004 el logo de UNICEF aparece en las elásticas del primer equipo. Fue el entonces presidente Joan Laporta quien rubricó esta alianza para el apoyo a los programas de la fundación en 2004 y también quien la renovó en 2009.	Ambas o ninguna (both or none)
1405	"El plato fuerte será Khalid Shik Mohammed, que según el general Hartman propuso el plan a Bin Laden en 1996 y coordinó la operación. En un vídeo de su audiencia militar que el Pentágono ha hecho público el preso admite su papel de 'combatiente enemigo' y su participación en esos atentados, pero también acusa a sus carceleros de torturas y denuncia que hay muchos reos entre ellos que no son talibanes."	Ambas o ninguna (both or none)
3821	"La Fiscalía ""no consideró pertinente solicitar ante dicho Tribunal la medida de privativa de libertad, en virtud de que las personas imputadas reúnen una cantidad de elementos que determinan que su comportamiento posterior a esta audiencia no obstaculizará las investigaciones correspondientes"", añade la nota."	España (es-ES)
3944	"La publicidad deberá especificar si el grupo francés ha iniciado o está preparando la adquisición del negocio de Iberdrola mediante la compra de acciones o derivados financieros, por sí sola o de manera concertada con terceros, a los que tendrá que identificar. Asimismo, debe indicar si el objetivo es el ""desmembramiento o reparto"" de los activos de la eléctrica y si ya ha adquirido o tiene intención de adquirir una participación superior al 3%."	España (es-ES)
2055	"En el caso de que se concrete el acuerdo, el Alto Rosario aventajará al otro gran shopping de la ciudad en el movida. Es que en el Portal también soñaron desde un comienzo con traer las tiendas Paris (también propiedad del Grupo Cencosud), e incluso desde su inaguración le tienen reservado un espacio."	Ambas o ninguna (both or none)
1524	"La trilogía 'Tu rostro mañana', integrada por los volúmenes 'Fiebre y lanza' (1), 'Baile y sueño' (2) y 'Veneno y sombra y adiós' (3), publicada por la editorial Alfaguara, es según su punto de vista «una unidad considerable, que se ha publicado en el espacio de cinco años, aunque me ha llevado un tiempo de elaboración de ocho años. Al leer este tercer libro, hay situaciones que ya se anunciaban en los anteriores. Creo que tienen una entidad estilística uniforme pese al periodo transcurrido»."	España (es-ES)
3140	"«Cuando el enemigo se equivoca, no conviene distraerle». La frase se atribuye a Napoleón, pero en las actuales circunstancias bien podría ser del presidente palestino, Mahmud Abbas, al que no es difícil imaginar complacido al ver cómo Benyamin Netanyahu ha colmado la paciencia de EE UU como ya hizo con la suya. Abbas y su entorno han optado por callar. Que nada desvíe la atención ahora que Washington parece haberse puesto serio con el debate de los asentamientos y las posiciones israelíes han quedado en evidencia."	Ambas o ninguna (both or none)
3274	"Otra opción era el campo Juan Casuco, pero en este recinto no se puede poner taquilla porque se pude ver el partido sin la necesidad de acceder al las gradas del campo."	España (es-ES)
3729	"A juicio de La Unió esta nueva actuación violenta, tras varios años de tranquilidad en el comercio entre los dos países, ""es un nuevo ataque intolerable al derecho a la libre circulación de mercancías por Europa en pleno siglo XXI"" y resulta ""totalmente incomprensible que se actúe de esta manera""."	España (es-ES)
